"","Taxa1","Site1","Site2","Spearman_r","p_value","adjust_p","Annotation"
"196","Micrococcus_luteus","Ax","Ub",0.173544824159382,0.0139873478076646,0.265392297279279,NA
"197","Corynebacterium_tuberculostearicum","Ac","Ll",0.172194872976343,0.0147614452054503,0.276703517448451,NA
"198","Malassezia_restricta","Sc","Ll",0.171329281182707,0.0152772872920627,0.283548488527941,NA
"199","Malassezia_globosa","Ps","Sc",0.168061886665939,0.0173690409055612,0.312650630814074,NA
"200","Cutibacterium_avidum","Ax","Fo",-0.166090586755612,0.0187480932584169,0.331273013914537,NA
"201","Micrococcus_luteus","Sc","Vf",-0.166083690392884,0.0187530799071869,0.331335349604292,NA
"202","Corynebacterium_pseudogenitalium","Vf","Ub",0.165264500994005,0.0193536741484804,0.339481001067601,NA
"203","Corynebacterium_kroppenstedtii","Ch","Ll",0.165128209267847,0.0194551990540914,0.340895704119585,NA
"204","Cutibacterium_avidum","Ub","Ll",0.163516528035247,0.0206912113331941,0.357015652465446,NA
"205","Corynebacterium_kroppenstedtii","Ps","Ac",0.163484099048243,0.0207167631537764,0.357380802334502,NA
"206","Corynebacterium_pseudogenitalium","Ps","Vf",-0.161762551385319,0.0221129990349394,0.374745229138446,NA
"207","Streptococcus_mitis_oralis_pneumoniae","Ch","Ub",0.161711014057446,0.0221560204752905,0.37526964184038,NA
"208","Cutibacterium_acnes","Ch","Ub",0.161174589805228,0.0226081135642241,0.381349574421253,NA
"209","Micrococcus_luteus","Ch","Vf",0.160852943899525,0.0228829915123475,0.384616776271563,NA
"210","Cutibacterium_acnes","Ch","Ac",0.159530548087669,0.0240435930151003,0.399357243425524,NA
"211","Brevibacterium_casei","Ps","Ll",-0.157721054680723,0.0257135405418527,0.419488230432874,NA
"212","Cutibacterium_granulosum","Ax","Sc",-0.157143484127342,0.0262671125906531,0.426023477373215,NA
"213","Streptococcus_mitis_oralis_pneumoniae","Ps","Ac",-0.156413687658615,0.0269811757398609,0.43453545266756,NA
"214","Cutibacterium_acnes","Ch","Vf",0.1558914557457,0.0275023001801862,0.440979528906514,NA
"215","Brevibacterium_casei","Ax","Ac",-0.155698851765312,0.027696658738448,0.443110526309263,NA
"216","Streptococcus_mitis_oralis_pneumoniae","Ps","Ch",0.154632096298264,0.0287945479933218,0.455770302014103,NA
"217","Corynebacterium_pseudogenitalium","Ps","Ac",-0.15448836687623,0.0289452775520297,0.457818739847681,NA
"218","Staphylococcus_caprae_capitis","Fo","Sc",0.154312286504657,0.0291308518941587,0.46023408576325,NA
"219","Streptococcus_mitis_oralis_pneumoniae","Ax","Ll",0.154186752112193,0.0292637745163687,0.461629140303004,NA
"220","Staphylococcus_caprae_capitis","Ch","Sc",0.153205208912464,0.030321053002633,0.473719915231592,NA
"221","Staphylococcus_caprae_capitis","Fo","Vf",0.152416978213047,0.03119352154759,0.483406189558091,NA
"222","Staphylococcus_caprae_capitis","Sc","Ac",0.152048328407623,0.0316088509895146,0.487867441742984,NA
"223","Cutibacterium_acnes","Ch","Ll",0.152003357085197,0.0316598373672591,0.488461051641537,NA
"224","Moraxella_osloensis","Ch","Ub",0.151955379147285,0.0317143096564343,0.489093073002923,NA
"225","Cutibacterium_acnes","Ps","Ll",0.151505287632191,0.0322292210643405,0.495553503126745,NA
"226","Micrococcus_luteus","Ps","Vf",-0.150683686906494,0.0331874866918066,0.505932568543255,NA
"227","Dermabacter_sp_HFH0086","Vf","Ll",-0.14946905522819,0.034648427851582,0.522400845230765,NA
"228","Malassezia_restricta","Ax","Vf",-0.148950382668602,0.0352886907344714,0.52862201161874,NA
"229","Finegoldia_magna","Ch","Ll",-0.148344346649668,0.0360494642124137,0.537810832973426,NA
"230","Corynebacterium_kroppenstedtii","Ax","Ub",0.147666513529114,0.0369167616061388,0.547347698785163,NA
"231","Moraxella_osloensis","Ps","Ll",-0.147506472206911,0.0371240907340908,0.549409317620941,NA
